sequence_id	gene_id	gene_start	gene_end	exon_start	exon_end	strand	k	start_rank	boundary_score	transition_score	codon_penalty
rna-XM_020753532.1	gene_2	8699	92407	8699	20657	+	2	2	-0.455327	-6.062424	
rna-XM_020753532.1	gene_2	8699	92407	20819	55594	+	2	2	-0.455327	-6.062424	
rna-XM_020753532.1	gene_2	8699	92407	64598	85274	+	2	2	-0.455327	-6.062424	
rna-XM_020753532.1	gene_2	8699	92407	86801	90774	+	2	2	-0.455327	-6.062424	
rna-XM_020753532.1	gene_2	8699	92407	90894	92407	+	2	2	-0.455327	-6.062424	
rna-XM_020753532.1	gene_3	8699	92407	8699	20657	+	3	3	-0.455327	-6.128276	
rna-XM_020753532.1	gene_3	8699	92407	20819	55594	+	3	3	-0.455327	-6.128276	
rna-XM_020753532.1	gene_3	8699	92407	58291	85274	+	3	3	-0.455327	-6.128276	
rna-XM_020753532.1	gene_3	8699	92407	86801	87640	+	3	3	-0.455327	-6.128276	
rna-XM_020753532.1	gene_3	8699	92407	89319	90774	+	3	3	-0.455327	-6.128276	
rna-XM_020753532.1	gene_3	8699	92407	90894	92407	+	3	3	-0.455327	-6.128276	
rna-XM_020753532.1	gene_4	2497	92407	2497	20657	+	4	1	-0.980973	-5.650130	
rna-XM_020753532.1	gene_4	2497	92407	20819	55594	+	4	1	-0.980973	-5.650130	
rna-XM_020753532.1	gene_4	2497	92407	64598	75002	+	4	1	-0.980973	-5.650130	
rna-XM_020753532.1	gene_4	2497	92407	75070	85274	+	4	1	-0.980973	-5.650130	
rna-XM_020753532.1	gene_4	2497	92407	86801	90774	+	4	1	-0.980973	-5.650130	
rna-XM_020753532.1	gene_4	2497	92407	90894	92407	+	4	1	-0.980973	-5.650130	
rna-XM_020753532.1	gene_5	2497	92407	2497	20657	+	5	2	-0.980973	-5.715983	
rna-XM_020753532.1	gene_5	2497	92407	20819	55594	+	5	2	-0.980973	-5.715983	
rna-XM_020753532.1	gene_5	2497	92407	58291	75002	+	5	2	-0.980973	-5.715983	
rna-XM_020753532.1	gene_5	2497	92407	75070	85274	+	5	2	-0.980973	-5.715983	
rna-XM_020753532.1	gene_5	2497	92407	86801	87640	+	5	2	-0.980973	-5.715983	
rna-XM_020753532.1	gene_5	2497	92407	89319	90774	+	5	2	-0.980973	-5.715983	
rna-XM_020753532.1	gene_5	2497	92407	90894	92407	+	5	2	-0.980973	-5.715983	
rna-XM_020753532.1	gene_6	2497	92407	2497	20657	+	6	3	-0.980973	-6.087586	
rna-XM_020753532.1	gene_6	2497	92407	20819	56802	+	6	3	-0.980973	-6.087586	
rna-XM_020753532.1	gene_6	2497	92407	58291	75002	+	6	3	-0.980973	-6.087586	
rna-XM_020753532.1	gene_6	2497	92407	75070	85274	+	6	3	-0.980973	-6.087586	
rna-XM_020753532.1	gene_6	2497	92407	86801	90774	+	6	3	-0.980973	-6.087586	
rna-XM_020753532.1	gene_6	2497	92407	90894	92407	+	6	3	-0.980973	-6.087586	
rna-XM_020753532.1	gene_7	2458	92407	2458	20657	+	7	1	-1.128016	-5.650130	
rna-XM_020753532.1	gene_7	2458	92407	20819	55594	+	7	1	-1.128016	-5.650130	
rna-XM_020753532.1	gene_7	2458	92407	64598	75002	+	7	1	-1.128016	-5.650130	
rna-XM_020753532.1	gene_7	2458	92407	75070	85274	+	7	1	-1.128016	-5.650130	
rna-XM_020753532.1	gene_7	2458	92407	86801	90774	+	7	1	-1.128016	-5.650130	
rna-XM_020753532.1	gene_7	2458	92407	90894	92407	+	7	1	-1.128016	-5.650130	
rna-XM_020753532.1	gene_8	2458	92407	2458	20657	+	8	2	-1.128016	-5.715983	
rna-XM_020753532.1	gene_8	2458	92407	20819	55594	+	8	2	-1.128016	-5.715983	
rna-XM_020753532.1	gene_8	2458	92407	58291	75002	+	8	2	-1.128016	-5.715983	
rna-XM_020753532.1	gene_8	2458	92407	75070	85274	+	8	2	-1.128016	-5.715983	
rna-XM_020753532.1	gene_8	2458	92407	86801	87640	+	8	2	-1.128016	-5.715983	
rna-XM_020753532.1	gene_8	2458	92407	89319	90774	+	8	2	-1.128016	-5.715983	
rna-XM_020753532.1	gene_8	2458	92407	90894	92407	+	8	2	-1.128016	-5.715983	
rna-XM_020753532.1	gene_9	2458	92407	2458	20657	+	9	3	-1.128016	-6.087586	
rna-XM_020753532.1	gene_9	2458	92407	20819	56802	+	9	3	-1.128016	-6.087586	
rna-XM_020753532.1	gene_9	2458	92407	58291	75002	+	9	3	-1.128016	-6.087586	
rna-XM_020753532.1	gene_9	2458	92407	75070	85274	+	9	3	-1.128016	-6.087586	
rna-XM_020753532.1	gene_9	2458	92407	86801	90774	+	9	3	-1.128016	-6.087586	
rna-XM_020753532.1	gene_9	2458	92407	90894	92407	+	9	3	-1.128016	-6.087586	
rna-XM_020753532.1	gene_10	63722	92407	63722	75002	+	10	1	-1.291855	-3.349713	
rna-XM_020753532.1	gene_10	63722	92407	75070	85274	+	10	1	-1.291855	-3.349713	
rna-XM_020753532.1	gene_10	63722	92407	86801	87640	+	10	1	-1.291855	-3.349713	
rna-XM_020753532.1	gene_10	63722	92407	89319	90774	+	10	1	-1.291855	-3.349713	
rna-XM_020753532.1	gene_10	63722	92407	90894	92407	+	10	1	-1.291855	-3.349713	
rna-XM_020753532.1	gene_11	63722	92407	63722	75002	+	11	2	-1.291855	-3.910227	
rna-XM_020753532.1	gene_11	63722	92407	75070	90774	+	11	2	-1.291855	-3.910227	
rna-XM_020753532.1	gene_11	63722	92407	90894	92407	+	11	2	-1.291855	-3.910227	
rna-XM_020753532.1	gene_12	63722	92407	63722	64976	+	12	3	-1.291855	-3.977367	
rna-XM_020753532.1	gene_12	63722	92407	65518	75002	+	12	3	-1.291855	-3.977367	
rna-XM_020753532.1	gene_12	63722	92407	75070	85274	+	12	3	-1.291855	-3.977367	
rna-XM_020753532.1	gene_12	63722	92407	86801	90774	+	12	3	-1.291855	-3.977367	
rna-XM_020753532.1	gene_12	63722	92407	90894	92407	+	12	3	-1.291855	-3.977367	
rna-XM_020756447.1	gene_1	6708	10340	6708	10340	+	1	1	-1.826491	-0.705180	
rna-XM_020757186.1	gene_1	3157	19204	3157	17870	+	1	2	-1.481473	-1.930573	
rna-XM_020757186.1	gene_1	3157	19204	18340	19204	+	1	2	-1.481473	-1.930573	
rna-XM_020757186.1	gene_2	3157	16207	3157	10888	+	2	3	-2.134591	-5.826424	
rna-XM_020757186.1	gene_2	3157	16207	12384	16207	+	2	3	-2.134591	-5.826424	
rna-XM_020757186.1	gene_3	3157	11545	3157	10888	+	3	1	-2.202592	-0.926226	
rna-XM_020757186.1	gene_3	3157	11545	10893	11545	+	3	1	-2.202592	-0.926226	
rna-XM_020758099.1	gene_1	501	10663	501	9106	+	1	1	-1.438922	-2.654651	
rna-XM_020758099.1	gene_1	501	10663	10120	10663	+	1	1	-1.438922	-2.654651	
rna-XM_020768668.1	gene_1	3422	14118	3422	13036	+	1	1	-0.149400	-9.658599	
rna-XM_020768668.1	gene_1	3422	14118	13603	14118	+	1	1	-0.149400	-9.658599	
rna-XM_020768668.1	gene_2	3422	14118	3422	9881	+	2	2	-0.149400	-9.799455	
rna-XM_020768668.1	gene_2	3422	14118	10315	13036	+	2	2	-0.149400	-9.799455	
rna-XM_020768668.1	gene_2	3422	14118	13950	14118	+	2	2	-0.149400	-9.799455	
rna-XM_020768668.1	gene_3	3422	14118	3422	9881	+	3	3	-0.149400	-12.424264	
rna-XM_020768668.1	gene_3	3422	14118	11456	13036	+	3	3	-0.149400	-12.424264	
rna-XM_020768668.1	gene_3	3422	14118	13085	14118	+	3	3	-0.149400	-12.424264	
rna-XM_020768668.1	gene_4	426	14118	426	9881	+	4	1	-1.158723	-1.952791	
rna-XM_020768668.1	gene_4	426	14118	10315	13036	+	4	1	-1.158723	-1.952791	
rna-XM_020768668.1	gene_4	426	14118	13085	14118	+	4	1	-1.158723	-1.952791	
rna-XM_020768668.1	gene_5	426	14118	426	9881	+	5	2	-1.158723	-2.371754	
rna-XM_020768668.1	gene_5	426	14118	10315	14118	+	5	2	-1.158723	-2.371754	
rna-XM_020768668.1	gene_6	426	14118	426	617	+	6	3	-1.158723	-2.505812	
rna-XM_020768668.1	gene_6	426	14118	1648	13036	+	6	3	-1.158723	-2.505812	
rna-XM_020768668.1	gene_6	426	14118	13085	14118	+	6	3	-1.158723	-2.505812	
rna-XM_020768182.1	gene_1	501	14191	501	1720	+	1	1	-1.065944	-0.259962	
rna-XM_020768182.1	gene_1	501	14191	1846	14191	+	1	1	-1.065944	-0.259962	
rna-XM_020768182.1	gene_2	501	14191	501	1720	+	2	2	-1.065944	-21.282436	
rna-XM_020768182.1	gene_2	501	14191	2803	14191	+	2	2	-1.065944	-21.282436	
rna-XM_020768182.1	gene_3	501	14191	501	1720	+	3	3	-1.065944	-26.502016	
rna-XM_020768182.1	gene_3	501	14191	12124	14191	+	3	3	-1.065944	-26.502016	
rna-XM_020772330.1	gene_1	9022	25775	9022	12724	+	1	1	-2.106298	-2.658194	
rna-XM_020772330.1	gene_1	9022	25775	23395	25775	+	1	1	-2.106298	-2.658194	
rna-XM_020772330.1	gene_2	9022	25775	9022	12724	+	2	2	-2.106298	-3.007951	
rna-XM_020772330.1	gene_2	9022	25775	23395	23739	+	2	2	-2.106298	-3.007951	
rna-XM_020772330.1	gene_2	9022	25775	24556	25775	+	2	2	-2.106298	-3.007951	
rna-XM_020772330.1	gene_3	9022	25775	9022	12724	+	3	3	-2.106298	-3.226447	
rna-XM_020772330.1	gene_3	9022	25775	24556	25775	+	3	3	-2.106298	-3.226447	
